tau1,tau2,id-tau1,id-tau2
11,11,-2,-1
1,1,2,1
0,1,0,1
10,10,11,-2
1,0,1,0
-13,-13,-13,-13
-13,-13,-13,-13
1,1,1,1
2,1,2,1
-13,-13,-13,-13
-11,1,-11,1
0,0,-20,0
2,1,2,1
10,10,-2,10
10,-11,-2,-11
10,11,10,-20
0,1,0,1
-11,-13,-11,-2
0,1,0,1
1,2,1,3
0,11,0,11
1,-13,1,-13
10,10,10,10
-13,3,-13,3
-13,0,-13,0
-11,-13,-11,-13
-11,2,-11,2
10,10,-1,10
3,1,3,1
-11,-13,-11,-13
1,1,1,-2
1,10,1,10
-11,1,-11,1
1,12,1,-2
10,-11,-20,-11
-13,1,-13,-13
10,11,-2,-2
1,-13,2,-13
-11,1,-11,2
-11,10,-11,1
0,1,0,1
11,-11,-2,-11
-13,1,-13,-11
-11,2,-11,2
2,1,3,2
-13,2,-13,2
1,0,-20,0
0,1,-2,-2
11,11,11,11
1,1,1,2
0,1,0,1
2,0,-2,2
-11,0,-2,0
-13,-11,-2,2
-13,11,-13,12
0,1,0,1
0,0,0,0
-11,0,-11,0
-11,1,-2,1
-13,2,-13,1
0,-11,1,-11
-11,1,-11,-2
11,-11,12,-11
1,-13,1,-2
-11,1,-11,-2
1,1,1,-2
1,2,1,1
1,-13,1,0
-13,1,-13,1
10,-13,10,-13
0,0,0,0
-13,2,-13,1
1,-13,-20,-13
10,-11,-11,-11
1,-13,1,-13
-11,2,-11,2
0,1,1,1
-13,-13,-13,-13
-11,0,-11,0
0,-13,0,-13
11,2,-11,2
11,2,11,1
11,2,-11,2
-11,-13,-11,-13
1,-13,1,-13
1,0,1,0
-11,-11,-11,-11
-13,-11,-13,-11
2,-11,2,-11
1,11,-2,-2
-13,-13,0,-13
1,1,1,2
10,-13,10,-13
-11,-11,-11,-11
1,1,-11,1
1,-13,1,-13
-11,0,-11,0
-11,0,-11,0
0,0,-11,1
-13,-11,-13,-11
-13,1,-13,-2
0,10,0,10
2,11,2,11
-13,-11,0,-11
10,-11,10,-2
0,2,0,2
-13,0,-13,3
0,-11,0,-2
-13,2,-13,3
10,11,-2,12
0,-11,0,-11
10,-13,10,0
0,1,-2,1
1,1,1,1
2,-11,-11,-2
-13,-11,-13,-11
-13,-13,-13,-13
11,1,-2,1
0,1,0,1
1,2,1,2
2,0,1,-2
1,10,1,-2
-11,1,-11,1
10,1,-11,1
-11,1,-11,1
-11,2,-11,1
-11,10,-11,10
1,1,-11,1
-11,-11,-11,-11
1,-11,-11,-11
10,0,10,1
1,1,1,2
1,1,1,1
2,-11,3,-11
-11,0,-11,0
10,-11,-2,-11
10,1,10,1
0,1,0,1
2,-11,-2,-2
-11,-13,-11,-13
-13,10,-13,-1
-13,-13,-2,-13
-11,2,-11,2
2,1,-20,1
1,1,1,1
-13,-11,-13,-11
-11,-11,-2,-11
1,-13,1,0
10,1,10,-2
-13,-13,-13,-13
-11,2,-11,2
1,-11,1,-11
-11,1,-11,1
1,1,2,-2
1,2,1,2
1,-11,1,-11
0,1,0,1
10,1,11,-20
1,0,1,0
-13,1,-13,1
0,-13,-20,-13
2,1,-2,-11
0,1,0,0
1,-13,1,-13
-13,10,-13,-2
-11,10,-11,10
1,-13,1,-13
0,1,0,1
1,-11,1,-11
-13,1,-13,2
-11,0,-11,0
11,2,-2,2
-11,10,-11,-20
10,10,11,10
-11,2,-11,3
1,-13,1,-13
2,-11,2,-11
-11,0,-11,0
10,1,10,1
0,1,0,-2
1,1,2,-2
-11,-13,-11,-13
1,1,1,1
1,-13,1,-13
12,10,-2,10
2,-11,-11,-11
-11,-13,-11,-13
0,10,0,10
10,1,10,-2
10,-11,-20,-11
1,1,-11,-11
1,-13,2,-13
-13,1,-13,1
1,2,2,2
-13,2,-2,-2
10,-11,-2,-2
1,-11,1,-11
2,1,2,2
0,1,-2,1
10,2,-2,-13
1,2,1,2
-13,0,-13,1
0,-11,0,-11
1,0,-2,0
2,-11,2,-11
0,0,0,0
-13,-11,-13,-11
10,1,10,1
2,1,1,-2
2,1,-2,-2
1,-13,-20,-13
-11,1,1,1
1,0,1,0
1,-11,-2,-11
-13,-11,-2,-11
2,10,3,-2
10,1,10,2
1,10,1,10
-11,1,-11,1
10,-11,-11,-11
1,-13,-2,-2
2,10,-11,-1
10,11,10,-2
-11,1,-11,1
-11,10,-11,10
1,1,1,1
-13,2,-13,1
-13,-11,0,-11
-13,-11,-13,-2
11,1,11,-2
-11,0,-11,-2
-13,10,-13,-11
-13,2,-13,2
-13,1,-13,1
2,1,-2,1
-13,-13,-13,-13
1,-11,-20,-11
1,-13,1,-13
2,0,2,0
-11,1,-11,1
11,-13,-13,-13
2,10,2,10
2,1,2,2
1,-11,1,-11
1,1,1,1
1,-13,1,-13
11,1,-2,1
-11,-13,-11,-13
0,2,-2,-2
-11,1,-2,1
-13,-11,-13,-11
11,-13,11,-13
1,-11,2,-2
-11,-11,-11,-11
-11,2,-11,2
-13,-11,-13,-11
-11,1,-11,1
1,0,-2,0
-11,10,-11,0
-13,-13,-2,-13
0,2,0,-11
-13,2,-13,-13
0,-13,-20,0
1,-13,13,-1
11,-11,11,-11
-11,2,-11,-11
0,-13,0,-13
-11,2,-11,2
-11,1,-11,1
-11,1,-11,1
10,-11,11,1
-13,1,-13,1
1,2,1,-2
10,-13,-2,-13
1,10,1,10
1,2,1,2
1,-11,-13,-2
1,-13,1,0
-11,1,-11,1
1,0,1,-20
11,-13,11,-2
-11,1,-11,1
1,-11,1,-11
-13,2,-13,2
1,1,1,1
11,-11,-20,-11
-11,0,1,0
-11,10,-11,10
-11,-11,-11,-2
-11,-11,-11,-11
-13,3,-13,3
-13,-13,-13,-2
1,1,1,1
-13,-11,-13,-11
-11,-11,-11,-11
-11,1,-11,1
0,-13,-20,-13
-13,-11,0,-11
0,-11,0,-2
1,1,1,1
1,1,1,-11
11,10,12,10
0,0,0,0
-11,1,-2,-2
11,-13,11,-13
2,0,2,-20
-11,10,-11,10
-11,1,-11,-2
-13,1,0,-11
-11,-13,-11,-13
-11,0,-11,0
-13,-13,-13,-13
-13,0,-13,0
1,2,1,2
0,0,-2,1
3,-11,3,-2
1,1,1,0
-11,-13,-11,-13
1,-13,2,0
2,2,2,1
1,1,1,1
1,1,1,1
-11,1,-11,1
0,2,-2,2
1,2,2,-13
-13,-13,-13,-13
-13,1,-13,1
10,1,-2,1
0,2,1,2
1,1,1,1
2,-11,-20,1
1,1,-2,-20
10,10,10,-2
10,-13,-2,0
0,1,0,-2
11,1,-2,1
1,0,1,0
1,1,3,1
1,1,1,1
1,11,-2,-2
0,-11,-11,-11
1,0,1,-20
0,-13,0,-13
1,-13,1,-13
1,-13,-2,-13
0,11,0,0
-13,1,0,1
2,-11,2,-11
10,-13,10,-13
11,1,-11,1
-13,0,-13,0
2,2,4,-2
1,0,-20,0
-11,-11,-11,-11
10,1,10,-20
10,0,10,-2
2,-11,3,-11
0,-11,0,-11
1,10,1,-2
2,10,-13,-20
-13,1,-13,2
0,-13,0,-13
1,0,1,-2
2,10,1,-2
10,0,10,-2
1,1,-2,-2
0,10,0,10
1,0,1,0
-11,10,-2,-20
0,1,-20,1
-11,1,-11,1
1,2,1,2
2,-13,2,-13
1,10,1,10
-11,-11,-11,-2
11,0,-2,0
-13,1,-13,1
1,-13,-2,-13
0,10,0,10
1,-11,-20,-11
-13,-11,-13,-11
0,1,0,1
-13,0,-13,-2
1,1,1,1
-13,1,-13,2
2,-11,2,-11
2,1,2,1
10,10,-20,10
-11,-11,-2,-11
-11,-13,-11,-13
1,1,1,-2
1,-11,1,-11
11,-11,-13,-2
-11,-11,-11,-11
1,1,1,1
-13,2,-13,2
-11,1,-11,1
10,4,-2,3
-11,10,-11,10
1,-11,1,-11
-11,-13,-11,-13
-11,0,-11,-20
-13,-13,-13,-13
3,1,3,1
-11,-11,1,-11
1,1,1,1
2,-13,2,-13
-11,10,-11,10
2,-11,2,-11
0,-11,0,-11
10,-13,-2,-13
1,-13,1,-13
1,0,1,0
-13,1,-13,-2
0,-11,0,-11
1,10,1,10
0,10,-2,-2
-13,-13,-13,-13
1,1,1,1
-11,10,-2,-2
3,1,3,1
1,-11,-20,-11
2,-11,2,-11
1,0,1,0
2,-11,2,-2
-11,10,-11,-2
-13,1,-13,1
2,1,1,1
-13,1,-2,-2
1,-13,4,-2
1,2,1,2
0,1,0,-2
1,0,1,-13
10,-13,-2,-13
2,2,2,2
-13,1,-13,1
-13,1,-13,2
1,0,-20,0
11,-13,12,-2
2,-11,2,-11
-11,0,-11,0
1,-13,1,-13
1,-13,1,-13
-11,2,-11,-2
1,-13,1,-13
0,1,0,-11
-13,3,-13,3
0,11,0,0
10,2,-11,2
2,1,2,1
-13,-11,-2,-11
11,-11,11,-11
1,10,3,10
1,-13,1,-13
2,0,2,-2
1,1,-2,2
1,3,1,3
-11,1,-11,2
10,-11,-11,-11
-13,1,-13,1
-11,0,-11,0
1,-11,1,-11
2,10,2,10
0,2,0,2
10,1,-2,1
2,-13,-2,-13
-13,10,-13,10
1,2,-2,-2
0,-13,0,-13
10,-13,10,-13
-13,-11,-13,-11
-11,2,-2,-2
10,-13,10,-13
0,-11,0,-11
1,1,-2,1
-11,0,-11,0
-11,1,-11,1
2,0,2,0
-13,1,-2,2
1,-13,1,-13
-13,2,-13,3
-11,1,-11,1
-11,-13,-11,-2
-11,2,-11,-2
2,0,2,0
1,-13,2,-13
-11,2,-11,2
3,-11,-20,-2
1,3,1,3
1,10,-20,10
-11,0,-2,2
1,1,-2,-20
11,10,11,-2
-11,1,-11,1
-13,10,-13,10
-11,0,-11,-20
-11,10,-11,-20
1,-11,-11,-2
1,2,-2,-2
0,-13,0,-13
-13,1,-13,1
0,1,-11,-2
1,0,1,-13
2,-13,2,-13
-13,1,-13,1
0,-11,0,-2
-11,-11,-11,-11
1,-13,1,-13
-13,0,-13,-2
1,-13,1,-13
1,10,1,10
0,1,0,1
1,2,1,2
-11,0,-11,-11
-11,1,-11,1
11,1,-20,1
-11,-13,-2,-13
0,11,0,-2
11,2,-11,2
0,10,0,10
1,-11,1,-11
11,2,11,2
10,11,-2,12
-13,-11,-13,-11
-11,1,-11,1
1,-11,-2,-11
1,-11,1,-11
-11,1,-11,1
10,1,-11,1
2,-11,2,-2
11,2,-2,2
-13,1,-13,1
10,1,-2,-2
2,-11,2,-11
1,10,1,-2
-11,-13,-11,-13
-13,1,-13,1
-13,10,-13,-20
-13,1,-13,-2
-13,-11,-13,-11
1,10,1,-11
0,1,0,1
2,-13,2,-13
0,1,0,1
10,1,-2,1
2,1,2,1
1,10,1,10
1,0,1,0
10,-13,11,-2
11,0,-2,0
10,-13,10,-13
-11,11,-2,-2
2,2,2,-11
-11,-11,-11,-2
1,-13,-1,-13
-11,-11,-2,-11
1,-11,1,-11
1,11,2,11
-11,-13,-11,0
1,-11,1,-11
10,10,10,10
2,1,1,1
1,2,1,1
1,10,1,-2
-11,1,-2,1
-13,2,-13,2
1,2,1,-2
10,-13,-2,-13
0,1,0,2
-11,10,-11,-2
-11,0,0,0
1,1,1,1
-11,1,-11,-2
-11,2,-11,-11
0,0,0,0
-11,0,-11,0
-11,0,-11,0
1,1,-2,1
1,0,-2,0
0,1,0,1
-13,10,-13,10
11,-13,11,-13
-13,1,-13,1
2,2,-2,2
-11,1,-11,1
1,-13,1,-13
10,10,10,10
0,10,-20,10
-13,-13,-13,-13
10,2,10,2
2,11,2,11
-13,11,-13,-11
-11,0,-11,0
-11,10,-11,10
10,0,-2,0
1,-13,1,-13
-11,10,-11,10
0,2,-20,1
-13,-13,-13,0
1,10,1,10
0,2,0,1
10,-11,-2,-11
11,-13,11,-13
-11,0,-11,0
-13,1,-13,1
0,-13,0,-13
1,-13,1,-13
-13,10,-13,12
-11,1,-11,1
10,10,-13,-2
0,10,0,10
10,1,-20,-11
11,0,12,0
0,2,0,-2
-13,1,-13,-2
10,-13,-2,0
-11,-13,2,-13
-13,-13,-13,-13
-11,1,-11,1
-13,-13,-13,-13
10,1,10,-2
1,11,1,12
0,10,0,10
10,-11,10,-11
10,0,10,0
10,-11,10,-11
1,10,1,10
1,1,1,1
2,1,2,1
0,10,-20,-2
10,10,10,10
10,0,10,14
-13,-11,-13,-11
-13,0,-13,0
1,-11,1,-11
1,0,1,0
-11,1,-11,2
2,-13,2,-13
1,2,1,2
-13,1,-13,-11
-11,0,-11,0
1,1,1,-13
-11,11,-11,11
1,1,-2,1
1,10,1,-20
1,-11,1,-2
10,3,-2,3
-11,-13,-2,-13
-11,11,-11,-11
-11,10,-11,10
-11,1,-11,1
1,10,1,-2
2,-13,2,-13
10,-11,-2,-11
1,11,-2,-2
-11,1,-11,1
10,-13,-20,-13
-11,-11,-11,-11
1,2,1,2
1,-13,-2,-13
-13,1,-13,1
12,1,12,1
-13,10,-13,10
-11,1,-11,1
-13,-11,-13,-11
1,0,-2,0
-11,12,-11,-2
-13,2,-13,14
-11,1,-11,-2
1,1,-2,-2
0,-13,0,-13
2,10,-11,-2
11,2,-2,-11
1,-11,1,-11
-13,0,-13,0
0,-13,1,0
10,1,10,1
1,1,1,1
11,1,11,-2
0,1,-20,1
1,1,1,1
1,10,1,-20
11,0,11,3
1,2,2,2
2,2,11,-2
1,-13,1,-13
10,-13,-2,-13
-11,1,-11,2
0,0,0,0
-13,0,-13,1
0,10,0,-2
2,1,2,1
1,1,1,2
-13,2,-13,1
-11,1,-11,1
-13,-13,-13,-13
11,-11,11,-11
-11,-11,-11,-11
-13,10,-13,10
1,1,-2,1
1,1,1,-13
-11,-13,-11,-13
1,2,1,3
0,-13,-20,-13
-11,-13,-11,0
2,-13,-2,-13
1,10,1,-2
2,-11,2,-2
11,2,-2,1
-13,1,-13,1
0,-13,-20,-13
-11,-11,0,-11
10,3,-11,2
10,1,10,0
-11,0,-11,0
1,11,-2,-2
1,11,1,-2
2,-13,2,-13
-13,0,-13,0
0,2,0,2
0,2,-2,2
2,0,-2,0
0,2,-2,2
-11,1,-11,1
2,1,-11,1
2,0,2,-20
11,1,-20,4
-13,1,-13,1
1,-13,1,-13
-11,1,-2,1
1,-13,1,-13
10,-11,10,-11
1,-11,1,-11
-11,1,-11,1
1,-13,-2,-13
2,4,3,3
1,10,-20,12
-13,-13,-13,-13
0,1,0,1
2,-13,2,-13
-13,-11,-13,-11
2,10,2,10
-11,-11,-11,-11
1,1,1,-11
1,2,1,2
-11,-11,-11,-11
2,1,-20,-2
2,10,2,10
10,1,10,1
-13,-13,-13,-13
1,-13,1,-13
10,1,-2,0
-11,1,-11,1
-13,-13,-13,-13
11,-11,11,-11
1,-11,-2,-11
1,-11,1,-11
2,0,1,0
-11,1,2,1
2,1,2,1
2,1,2,1
-11,10,-11,-2
1,0,1,0
-11,1,-11,1
-11,0,-2,0
2,2,2,2
-11,1,1,1
-11,0,-11,0
2,-11,3,-11
-13,1,-13,1
0,1,1,-20
-1,1,-1,1
0,2,0,2
-11,-11,-11,-11
-11,11,-11,-2
0,-11,-11,-11
1,-13,1,-13
0,1,-20,1
0,-11,0,-11
-13,10,-13,10
3,1,3,1
0,1,0,1
-13,2,-13,2
10,-13,10,-13
11,1,11,1
10,-13,10,-13
10,1,-2,1
0,10,-20,10
-13,1,-13,1
-13,-11,-13,-11
0,10,0,-13
1,1,-13,1
0,-13,0,-13
-11,1,-11,1
-11,-11,-11,-11
-11,1,-11,1
-13,0,-13,-2
11,-13,11,-13
-11,1,-2,2
-11,1,-11,1
-13,1,-13,1
-13,2,-13,2
0,-13,0,-13
0,0,0,0
11,-11,11,-11
0,10,0,-2
1,1,1,-2
1,2,1,2
0,-13,0,-13
1,1,2,1
-13,0,-13,0
12,-13,-13,-13
1,-13,1,-13
-13,1,-13,-20
1,10,1,12
-11,2,-2,2
10,1,-2,-2
-13,10,-13,-2
2,-13,1,-13
1,1,1,1
10,-11,-11,-1
0,11,-20,11
-11,1,-11,1
-11,0,-11,0
0,2,0,3
1,11,1,11
1,-13,1,-13
-11,1,-11,1
1,-13,2,-13
1,-11,1,-11
-11,-11,-11,-11
-11,1,-11,1
2,2,3,1
-13,1,-2,2
-11,-11,-11,-11
-11,10,-11,10
0,2,0,2
1,2,1,2
0,-11,0,-11
10,2,10,2
-13,3,-13,-2
10,0,-2,0
0,1,0,1
1,-11,1,-11
2,1,2,1
11,2,-2,2
-11,-11,-2,-2
-11,1,-11,1
1,1,2,1
-13,0,-13,0
-11,1,-11,1
2,2,1,2
-11,1,-11,1
2,-11,2,-11
-11,2,-11,-11
10,-11,10,0
2,0,2,0
0,-13,0,-13
-13,-13,-13,-13
0,-11,0,-11
0,-11,0,-11
-13,-13,-13,-13
0,1,0,-13
2,0,1,0
10,10,-2,10
-13,0,-13,0
2,0,2,0
-13,-11,-13,-11
1,-13,-20,-13
-13,1,-13,1
-11,1,-11,1
1,-11,1,-11
0,-13,0,0
10,1,-20,1
-13,-13,-13,-13
-13,-11,-13,-11
-13,3,-13,3
-13,2,-13,1
1,11,1,11
2,-13,-2,-13
11,0,12,-20
0,1,1,1
-13,12,-13,-2
-11,0,-11,0
10,1,10,1
1,10,1,-13
-11,0,-2,-2
-13,0,-13,0
-11,0,-11,0
-13,0,-13,0
2,-11,3,-2
1,-11,1,-11
10,12,10,12
1,-11,1,-11
1,-13,1,-13
2,10,2,11
10,0,10,-20
10,2,-2,2
-13,-11,-13,-11
2,-11,2,-11
2,1,2,-13
1,0,0,0
0,0,0,0
-11,0,-11,-2
1,-11,1,-11
11,10,-11,-2
1,10,-2,-2
0,-11,-20,-2
2,-11,2,-11
1,10,1,-2
-11,-11,-11,-11
2,0,2,0
0,1,1,1
-13,11,-13,-13
1,0,1,0
2,0,2,0
1,2,-2,2
-11,1,-11,1
1,1,1,2
-11,0,-11,0
0,11,0,-11
1,11,1,2
11,2,-2,2
2,1,2,1
-11,1,-11,1
-13,0,-13,0
2,1,-11,-2
-11,11,-2,11
10,-11,3,-11
10,10,-20,10
2,2,-20,1
1,-11,-13,-2
1,1,1,1
0,1,0,2
-11,-11,-11,-11
0,10,-20,10
1,1,1,1
-11,1,-11,1
10,11,-20,-13
10,1,-2,1
2,-11,2,-11
0,1,0,1
10,1,10,1
0,1,2,1
1,1,1,1
10,-11,-11,-11
1,11,-20,13
10,2,10,1
-11,-11,-11,-11
-13,10,-13,10
0,-11,0,-11
11,1,-1,1
2,1,2,1
0,0,-20,-2
-11,1,0,1
0,-11,0,1
-13,1,-13,1
-11,12,-2,12
1,10,1,-2
1,0,1,0
3,-11,-11,-11
1,1,1,1
1,1,-2,-11
1,1,-2,1
-13,1,-13,1
-11,-11,-11,-11
-13,-11,-13,-11
-13,0,-13,0
2,10,2,-2
-11,-13,-11,-13
2,1,2,-2
0,-13,0,-13
-13,-13,-13,-13
1,-11,2,-2
1,1,1,1
-11,-13,-11,-13
-13,-13,-13,-13
1,-11,1,-11
1,0,-2,0
0,-13,0,-13
10,-11,10,-11
1,-13,-2,-13
-11,1,-11,1
10,-11,10,-11
-13,1,-13,-2
1,10,1,-2
-13,0,-13,0
2,-11,2,-11
10,-11,-2,-11
1,1,1,1
10,-11,-2,-2
2,-13,2,-13
0,1,0,1
0,1,-20,1
2,-11,2,-11
1,2,1,2
-13,-13,-13,-13
-13,10,-13,-2
-13,-11,-13,-11
-11,0,-11,0
1,11,1,-2
0,-11,0,-11
-11,10,-11,10
1,0,1,10
1,1,1,1
-13,-13,-13,-13
1,1,1,2
-13,11,-13,-2
-13,-13,-13,-13
-11,0,-11,0
-11,2,-11,2
-13,10,-13,-11
11,0,-2,-2
1,2,1,2
1,0,1,0
10,-11,10,-11
2,-13,2,-2
-11,-11,-2,-11
1,1,1,1
-11,-11,-11,-2
12,1,-2,-11
1,1,1,-20
10,-11,10,-11
-13,10,0,10
1,-13,2,-13
-11,-11,-11,0
1,10,0,15
2,0,2,-2
1,10,-11,10
1,-11,-13,-11
-11,1,-11,1
1,-11,1,-11
1,-11,1,-11
1,2,1,1
-13,1,-13,1
1,10,-2,10
-13,1,-13,1
1,-11,1,-11
1,2,2,1
1,0,-11,0
1,1,1,1
2,0,2,0
0,0,0,-1
0,10,0,-2
11,-13,-2,-13
-13,0,-13,0
-11,2,-11,1
-11,10,-11,12
-13,1,-13,1
0,-11,-20,-11
11,1,-20,1
0,0,0,0
0,12,-20,11
0,11,0,11
-13,-11,-13,-11
2,1,-11,1
-11,1,-2,1
-11,-13,-11,-13
0,-11,1,-2
2,2,-1,2
-13,-11,-13,-11
1,1,2,-20
0,-13,0,-13
1,1,-2,-2
-11,-11,-11,-11
0,-13,0,-13
2,-11,2,-11
10,-13,10,-13
1,-11,1,-11
-13,0,-13,0
-13,-13,-13,-13
-11,-11,-11,-11
-11,-11,-11,-11
1,-11,1,-2
2,10,2,-2
-11,-11,-11,-11
-11,1,-11,2
1,0,1,0
1,1,-2,-2
-13,-13,0,-13
1,-13,1,-13
2,-11,2,-11
1,1,1,-2
11,-11,11,0
1,-13,-11,-13
1,0,1,0
10,2,-20,2
0,-11,0,-11
-13,-11,-2,-2
0,1,0,1
0,2,0,2
10,1,10,1
-13,2,-13,2
1,1,2,1
1,-11,1,-11
1,-13,1,-13
-11,1,-11,1
1,-11,1,-11
1,-13,3,-13
-13,1,-13,1
2,10,3,10
0,-11,0,-11
1,3,1,-20
0,0,0,0
-11,-13,-11,-13
1,10,1,10
-11,0,-2,-20
-13,1,-13,1
10,-11,10,-11
1,-11,1,-11
1,1,1,1
1,0,1,0
2,-11,-2,-2
0,-13,-20,-13
0,0,0,-2
1,1,2,-20
-11,10,-2,-2
-11,1,-11,1
-13,1,-13,1
2,0,2,0
11,1,-13,1
1,1,1,1
1,-13,2,-13
1,10,1,-1
0,0,-2,0
-11,-13,-11,-13
-11,-13,-11,-13
-13,1,0,1
2,3,2,3
3,-11,2,-11
0,-11,0,-11
1,1,1,2
10,1,-2,-20
-13,1,-13,2
1,-11,1,-11
-11,-13,-11,-13
0,-11,0,1
11,-11,-2,-11
-11,10,1,-1
10,-13,10,0
0,10,0,-2
1,-13,1,-13
1,-11,2,-11
-13,0,-13,-20
1,2,1,2
1,1,1,1
1,0,1,0
1,10,1,10
-11,0,-11,0
3,10,3,10
10,-13,10,-13
2,1,2,1
-11,1,-11,1
1,-13,-2,-13
-13,1,-2,-2
0,-11,-20,-11
10,-11,10,-11
1,-13,2,-13
1,2,1,2
-13,-13,-13,-13
1,10,1,10
1,1,1,1
0,10,0,-2
1,10,-2,14
-11,-11,-11,-11
1,0,1,-11
-11,11,-11,-20
10,-11,10,0
-13,-13,-13,-13
1,0,1,0
0,-11,-20,-11
-11,0,-11,0
-13,0,-13,0
0,-13,0,-13
3,-13,-2,-13
1,1,1,1
1,-11,1,-11
1,2,1,2
10,2,11,-20
10,-13,-2,-13
10,-11,-2,-11
1,1,1,1
-11,-11,-11,-11
10,-13,11,0
1,0,-2,0
1,2,1,2
-13,1,-13,1
-13,-11,-13,-11
1,-13,1,-13
-11,0,-11,0
2,1,2,1
10,-13,10,-13
-13,-11,-13,-2
10,1,-20,2
-13,0,-13,-2
10,1,-2,1
0,-13,0,-13
-13,-13,-13,-13
-13,1,-2,-2
-11,1,-11,1
10,1,10,1
-11,1,-11,1
1,-13,1,-2
-13,1,-13,0
1,-11,1,0
-13,10,-13,-2
1,0,2,0
0,1,0,1
1,0,1,0
11,1,-2,1
0,-11,0,-11
10,-13,-2,-13
10,2,10,2
1,-11,-2,-2
1,1,1,1
-13,1,-13,1
-11,1,-11,2
10,-13,-2,-13
1,0,1,0
11,1,12,1
0,2,0,2
-11,1,-11,1
11,-13,-11,-13
2,11,2,-2
1,1,1,1
-11,-11,-11,-11
-11,-11,-11,-11
1,10,1,10
1,1,1,1
10,-11,10,-11
-13,1,0,1
0,-11,1,-11
2,1,3,-11
1,0,-2,0
10,-13,-2,-2
-13,0,-13,0
-11,0,-11,0
1,2,1,2
-13,-13,-13,-13
3,1,-2,-20
1,-11,2,1
11,-13,11,-2
-11,1,-11,1
0,2,0,-11
-13,1,-13,1
0,0,0,0
1,-11,1,-2
1,-13,1,-13
-13,1,-13,1
1,-13,0,-13
0,0,-2,-2
2,-11,2,-2
0,-11,0,-2
0,-13,-20,-13
1,-13,-11,-13
-11,-13,-11,-13
1,-11,0,-11
-13,2,-13,2
11,1,11,1
11,-11,14,-2
1,-11,1,-11
1,0,1,0
11,2,11,-20
0,11,0,-20
1,0,1,-2
-13,11,-13,11
-11,0,-11,0
-13,2,0,2
2,1,2,1
10,-11,-20,-11
2,2,3,2
-13,1,-13,-11
1,1,1,1
1,1,1,1
1,1,1,1
0,-13,0,0
-11,-11,-11,-11
1,0,1,0
-11,10,-2,10
-13,0,-13,0
2,-13,-2,-2
11,10,-2,-2
0,11,-2,11
0,1,0,1
-13,-11,-13,-2
1,1,1,1
-11,10,-11,10
1,2,1,-2
-13,10,-13,-20
10,10,11,-1
10,-13,10,-13
-13,2,-13,2
0,-11,0,-11
1,2,1,3
10,-11,-2,-11
1,10,1,10
-11,11,-11,11
1,11,1,11
1,-11,1,-11
0,-11,0,-11
1,-13,-13,-13
1,2,2,2
2,2,2,2
-13,-13,-13,-2
-13,-13,-2,-13
2,10,2,10
0,1,1,1
1,-11,1,-11
-13,2,-13,2
10,-13,-2,-13
-13,-11,-13,-2
1,1,3,0
-13,1,-13,1
-13,-11,-13,-2
-13,-13,-13,-13
10,11,11,11
-13,-11,-13,-2
1,1,2,1
10,10,10,-2
-13,-11,-13,-11
1,1,-11,1
1,-13,1,-13
0,0,0,0
10,2,11,2
1,1,3,-11
1,-11,1,-11
-13,-11,-13,-11
-11,-11,-11,-11
1,0,1,0
1,2,1,3
-11,0,-11,0
1,1,1,1
10,0,-2,0
-11,2,-11,2
1,2,-2,-2
10,-13,10,0
11,2,-2,2
1,-13,1,-13
-13,-11,-13,-11
-13,10,-2,-11
0,2,0,2
11,-11,-2,-11
10,10,10,10
2,-11,2,-11
10,-11,10,-11
-13,-11,-13,-11
2,2,-11,2
2,1,2,1
1,1,1,-20
1,0,1,-20
1,11,1,11
1,11,-2,11
1,1,1,1
10,-11,-13,-2
10,-13,10,-13
-13,-13,-13,-13
2,1,2,1
10,-13,0,-2
-11,0,-11,0
2,-13,2,0
2,-11,3,-11
-13,-13,-13,-13
10,1,10,1
11,1,11,2
-11,11,-11,11
1,-11,1,-2
-13,11,-13,-11
-13,-13,0,-13
11,-13,-11,-13
1,1,-2,1
2,-11,2,-11
0,1,-20,1
1,11,1,11
-11,10,-11,-11
11,-11,-20,-11
-13,1,-13,1
11,-13,11,-13
-1,0,-13,-2
1,-13,2,0
2,10,2,-20
10,-11,-20,-11
1,1,-20,-20
-13,0,-2,0
-11,-11,-11,-11
1,1,1,1
0,1,0,-11
0,-13,0,-13
10,-11,10,-2
2,-13,2,-13
-13,-13,-13,-13
-13,-11,-13,-11
0,-13,2,0
-11,2,-11,2
1,1,1,1
-13,-13,-2,-2
11,1,11,1
0,0,0,0
0,-11,0,-11
10,-11,10,-2
-11,-11,-11,-11
-11,11,-11,-20
1,-13,1,0
2,0,2,0
1,-11,-20,-11
1,-11,1,-11
4,-11,4,-2
-13,-13,-13,-13
1,1,1,1
10,2,-2,-13
1,1,1,1
1,-13,-20,-2
-11,2,-11,2
1,2,1,2
1,-11,2,-11
1,10,0,10
1,-11,1,-11
10,0,-2,0
-11,-11,-11,-11
-11,-11,-2,-11
2,-13,3,-13
-11,0,-2,-2
1,1,1,2
-11,10,-11,10
0,2,0,2
-13,0,-13,0
2,10,2,10
-11,-13,-11,-2
1,-13,1,-13
11,-13,-2,-2
-13,2,-13,2
0,2,-2,2
1,1,-20,1
-11,2,-11,2
-13,1,-13,1
-13,-11,-13,-11
-13,1,-13,1
1,-13,1,-13
-11,-11,-11,-11
